 1 ,        1 ,   0.00 ,   1.59
 1 ,       10 ,   0.00 ,  13.79
 1 ,      100 ,   0.00 ,  57.60
 1 ,     1000 ,   1.10 ,  86.80
 1 ,    10000 ,   1.38 ,  87.68
 1 ,   100000 ,   1.31 ,  87.64
 1 ,   500000 ,   1.33 ,  86.68
 1 ,  1000000 ,   1.30 ,  85.95
 2 ,        1 ,   0.00 ,   0.73
 2 ,       10 ,   0.00 ,   7.98
 2 ,      100 ,   2.00 ,  55.68
 2 ,     1000 ,   1.00 , 152.53
 2 ,    10000 ,   1.38 , 168.52
 2 ,   100000 ,   1.25 , 175.64
 2 ,   500000 ,   1.31 , 172.35
 2 ,  1000000 ,   1.31 , 170.97
 4 ,        1 ,   0.00 ,   0.72
 4 ,       10 ,  10.00 ,   6.47
 4 ,      100 ,   1.00 ,  58.07
 4 ,     1000 ,   1.10 , 229.15
 4 ,    10000 ,   1.43 , 333.11
 4 ,   100000 ,   1.34 , 337.47
 4 ,   500000 ,   1.33 , 344.20
 4 ,  1000000 ,   1.33 , 340.18
 6 ,        1 ,   0.00 ,   0.68
 6 ,       10 ,   0.00 ,   5.21
 6 ,      100 ,   1.00 ,  54.32
 6 ,     1000 ,   1.20 , 278.79
 6 ,    10000 ,   1.41 , 270.72
 6 ,   100000 ,   1.37 , 518.14
 6 ,   500000 ,   1.33 , 431.21
 6 ,  1000000 ,   1.31 , 505.97
 8 ,        1 ,   0.00 ,   0.47
 8 ,       10 ,   0.00 ,   4.60
 8 ,      100 ,   2.00 ,  42.52
 8 ,     1000 ,   1.50 , 244.98
 8 ,    10000 ,   1.43 , 615.46
 8 ,   100000 ,   1.32 , 694.95
 8 ,   500000 ,   1.30 , 654.50
 8 ,  1000000 ,   1.31 , 608.92
